site,instrument,year,parameter,metric,metric_value_no TFEE adjustment,metric_value_TFEE adjusted,management_level_no TFEE adjustment,management_level_TFEE adjusted
Kitimat Riverlodge,BAM1020,2015,pm25,pm25_annual,5.7,5.7,yellow,yellow
Kitimat Riverlodge,BAM1020,2015,pm25,pm25_24h,14,14,yellow,yellow
Kitimat Riverlodge,BAM1020,2016,pm25,pm25_annual,5.3,5.3,yellow,yellow
Kitimat Riverlodge,BAM1020,2016,pm25,pm25_24h,12,12,yellow,yellow
Kitimat Riverlodge,BAM1020,2017,pm25,pm25_annual,4.7,4.7,yellow,yellow
Kitimat Riverlodge,BAM1020,2017,pm25,pm25_24h,11,11,yellow,yellow
Kitimat Riverlodge,BAM1020,2018,pm25,pm25_annual,4.8,4.7,yellow,yellow
Kitimat Riverlodge,BAM1020,2018,pm25,pm25_24h,12,11,yellow,yellow
Kitimat Riverlodge,BAM1020,2019,pm25,pm25_annual,4.7,4.7,yellow,yellow
Kitimat Riverlodge,BAM1020,2019,pm25,pm25_24h,12,12,yellow,yellow
Kitimat Whitesail,BAM1020/TEOM,2013,pm25,pm25_annual,2,2,green,green
Kitimat Whitesail,BAM1020/TEOM,2013,pm25,pm25_24h,7,7,green,green
Kitimat Whitesail,BAM1020/TEOM,2014,pm25,pm25_annual,3.4,3.4,green,green
Kitimat Whitesail,BAM1020/TEOM,2014,pm25,pm25_24h,11,11,yellow,yellow
Kitimat Whitesail,BAM1020/TEOM,2015,pm25,pm25_annual,4.5,4.5,yellow,yellow
Kitimat Whitesail,BAM1020/TEOM,2015,pm25,pm25_24h,12,12,yellow,yellow
Kitimat Whitesail,BAM1020/TEOM,2016,pm25,pm25_annual,5.4,5.4,yellow,yellow
Kitimat Whitesail,BAM1020/TEOM,2016,pm25,pm25_24h,14,14,yellow,yellow
Langdale Elementary,BAM1020,2013,pm25,pm25_annual,5.7,5.7,yellow,yellow
Langdale Elementary,BAM1020,2013,pm25,pm25_24h,14,14,yellow,yellow
Langdale Elementary,BAM1020,2014,pm25,pm25_annual,5.8,5.8,yellow,yellow
Langdale Elementary,BAM1020,2014,pm25,pm25_24h,15,15,yellow,yellow
Langdale Elementary,BAM1020,2015,pm25,pm25_annual,6.1,5.9,yellow,yellow
Langdale Elementary,BAM1020,2015,pm25,pm25_24h,15,14,yellow,yellow
Langdale Elementary,BAM1020,2016,pm25,pm25_annual,6.1,5.8,yellow,yellow
Langdale Elementary,BAM1020,2016,pm25,pm25_24h,15,14,yellow,yellow
Langdale Elementary,BAM1020,2017,pm25,pm25_annual,7.8,6.7,orange,orange
Langdale Elementary,BAM1020,2017,pm25,pm25_24h,36,15,red,yellow
Langdale Elementary,BAM1020,2018,pm25,pm25_24h,48,19,red,yellow
Langdale Elementary,BAM1020,2018,pm25,pm25_annual,NA,7.7,NA,orange
Langdale Elementary,BAM1020,2019,pm25,pm25_annual,7.3,6.3,orange,yellow
Langdale Elementary,BAM1020,2019,pm25,pm25_24h,35,16,red,yellow
Langley Central,PM25 SHARP5030,2013,pm25,pm25_annual,5.2,5.2,yellow,yellow
Langley Central,PM25 SHARP5030,2013,pm25,pm25_24h,14,14,yellow,yellow
Langley Central,PM25 SHARP5030,2014,pm25,pm25_annual,5.9,5.9,yellow,yellow
Langley Central,PM25 SHARP5030,2014,pm25,pm25_24h,16,16,yellow,yellow
Langley Central,PM25 SHARP5030,2015,pm25,pm25_annual,6.9,6.8,orange,orange
Langley Central,PM25 SHARP5030,2015,pm25,pm25_24h,20,20,orange,orange
Langley Central,PM25 SHARP5030,2016,pm25,pm25_annual,6.3,6.2,yellow,yellow
Langley Central,PM25 SHARP5030,2016,pm25,pm25_24h,19,19,yellow,yellow
Langley Central,PM25 SHARP5030,2017,pm25,pm25_annual,6.3,6,yellow,yellow
Langley Central,PM25 SHARP5030,2017,pm25,pm25_24h,24,19,orange,yellow
Langley Central,PM25 SHARP5030,2018,pm25,pm25_annual,6.2,5.6,yellow,yellow
Langley Central,PM25 SHARP5030,2018,pm25,pm25_24h,26,18,orange,yellow
Langley Central,PM25 SHARP5030,2019,pm25,pm25_annual,6.4,5.8,yellow,yellow
Langley Central,PM25 SHARP5030,2019,pm25,pm25_24h,27,19,orange,yellow
Lavington Baptist Church,BAM1020,2017,pm25,pm25_24h,42,21,red,orange
Lavington Baptist Church,BAM1020,2017,pm25,pm25_annual,NA,7.2,NA,orange
Lavington Baptist Church,BAM1020,2018,pm25,pm25_annual,10.5,7.7,red,orange
Lavington Baptist Church,BAM1020,2018,pm25,pm25_24h,60,22,red,orange
Lavington Baptist Church,BAM1020,2019,pm25,pm25_annual,12.6,8.4,red,orange
Lavington Baptist Church,BAM1020,2019,pm25,pm25_24h,82,25,red,orange
Mission School Works Yard,PM25_SHARP5030i,2016,pm25,pm25_annual,5.8,5.7,yellow,yellow
Mission School Works Yard,PM25_SHARP5030i,2016,pm25,pm25_24h,15,14,yellow,yellow
Mission School Works Yard,PM25_SHARP5030i,2017,pm25,pm25_annual,5.8,5.7,yellow,yellow
Mission School Works Yard,PM25_SHARP5030i,2017,pm25,pm25_24h,26,14,orange,yellow
Mission School Works Yard,PM25_SHARP5030i,2018,pm25,pm25_annual,6.4,5.8,yellow,yellow
Mission School Works Yard,PM25_SHARP5030i,2018,pm25,pm25_24h,33,16,red,yellow
Mission School Works Yard,PM25_SHARP5030i,2019,pm25,pm25_annual,6.8,6.2,orange,yellow
Mission School Works Yard,PM25_SHARP5030i,2019,pm25,pm25_24h,34,18,red,yellow
Nanaimo Labieux Road,BAM1020,2015,pm25,pm25_annual,4.8,4.6,yellow,yellow
Nanaimo Labieux Road,BAM1020,2015,pm25,pm25_24h,15,14,yellow,yellow
Nanaimo Labieux Road,BAM1020,2016,pm25,pm25_annual,4.5,4.3,yellow,yellow
Nanaimo Labieux Road,BAM1020,2016,pm25,pm25_24h,13,13,yellow,yellow
Nanaimo Labieux Road,BAM1020,2017,pm25,pm25_annual,4.6,4.1,yellow,yellow
Nanaimo Labieux Road,BAM1020,2017,pm25,pm25_24h,20,12,orange,yellow
Nanaimo Labieux Road,BAM1020,2018,pm25,pm25_annual,5,4.2,yellow,yellow
Nanaimo Labieux Road,BAM1020,2018,pm25,pm25_24h,21,12,orange,yellow
Nanaimo Labieux Road,BAM1020,2019,pm25,pm25_annual,5.1,4.3,yellow,yellow
Nanaimo Labieux Road,BAM1020,2019,pm25,pm25_24h,22,13,orange,yellow
Nanaimo Labieux Road,PM25_R&P_TEOM,2013,pm25,pm25_annual,3.4,3.4,green,green
Nanaimo Labieux Road,PM25_R&P_TEOM,2013,pm25,pm25_24h,9,9,green,green
Nanaimo Labieux Road,PM25_R&P_TEOM,2014,pm25,pm25_annual,3.6,3.6,green,green
Nanaimo Labieux Road,PM25_R&P_TEOM,2014,pm25,pm25_24h,10,10,green,green
Nelson Kutenai Place,PM25_R&P_TEOM,2013,pm25,pm25_annual,3.8,3.8,green,green
Nelson Kutenai Place,PM25_R&P_TEOM,2013,pm25,pm25_24h,10,10,green,green
Nelson Kutenai Place,PM25_R&P_TEOM,2014,pm25,pm25_annual,3.9,3.9,green,green
Nelson Kutenai Place,PM25_R&P_TEOM,2014,pm25,pm25_24h,12,12,yellow,yellow
Nelson Kutenai Place,PM25_R&P_TEOM,2015,pm25,pm25_annual,4,4,green,green
Nelson Kutenai Place,PM25_R&P_TEOM,2015,pm25,pm25_24h,12,12,yellow,yellow
New Westminster Sapperton Park,PM25_SHARP5030i,2017,pm25,pm25_annual,6.8,6.3,orange,yellow
New Westminster Sapperton Park,PM25_SHARP5030i,2017,pm25,pm25_24h,24,15,orange,yellow
New Westminster Sapperton Park,PM25_SHARP5030i,2018,pm25,pm25_annual,7.2,6.4,orange,yellow
New Westminster Sapperton Park,PM25_SHARP5030i,2018,pm25,pm25_24h,27,17,orange,yellow
New Westminster Sapperton Park,PM25_SHARP5030i,2019,pm25,pm25_annual,7.2,6.5,orange,orange
New Westminster Sapperton Park,PM25_SHARP5030i,2019,pm25,pm25_24h,27,17,orange,yellow
North Delta,PM25 SHARP5030,2013,pm25,pm25_annual,5.1,5.1,yellow,yellow
North Delta,PM25 SHARP5030,2013,pm25,pm25_24h,13,13,yellow,yellow
North Delta,PM25 SHARP5030,2014,pm25,pm25_annual,5.6,5.6,yellow,yellow
North Delta,PM25 SHARP5030,2014,pm25,pm25_24h,14,14,yellow,yellow
North Delta,PM25 SHARP5030,2015,pm25,pm25_annual,6.2,6.1,yellow,yellow
North Delta,PM25 SHARP5030,2015,pm25,pm25_24h,15,15,yellow,yellow
North Delta,PM25 SHARP5030,2016,pm25,pm25_annual,5.6,5.5,yellow,yellow
North Delta,PM25 SHARP5030,2016,pm25,pm25_24h,14,14,yellow,yellow
North Delta,PM25 SHARP5030,2017,pm25,pm25_annual,5.6,5.3,yellow,yellow
North Delta,PM25 SHARP5030,2017,pm25,pm25_24h,19,14,yellow,yellow
North Delta,PM25 SHARP5030,2018,pm25,pm25_annual,5.9,5.2,yellow,yellow
North Delta,PM25 SHARP5030,2018,pm25,pm25_24h,23,15,orange,yellow
North Delta,PM25 SHARP5030,2019,pm25,pm25_annual,6.5,5.8,orange,yellow
North Delta,PM25 SHARP5030,2019,pm25,pm25_24h,24,16,orange,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2013,pm25,pm25_annual,4.5,4.5,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2013,pm25,pm25_24h,12,12,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2014,pm25,pm25_annual,4.7,4.7,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2014,pm25,pm25_24h,13,13,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2015,pm25,pm25_annual,5.3,5.1,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2015,pm25,pm25_24h,13,13,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2016,pm25,pm25_annual,4.9,4.7,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2016,pm25,pm25_24h,12,12,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2017,pm25,pm25_annual,5.3,4.4,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2017,pm25,pm25_24h,24,11,orange,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2018,pm25,pm25_annual,5.6,4.7,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2018,pm25,pm25_24h,31,14,red,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2019,pm25,pm25_annual,5.8,4.8,yellow,yellow
North Vancouver Mahon Park,PM25 SHARP5030,2019,pm25,pm25_24h,32,14,red,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2013,pm25,pm25_annual,5.4,5.4,yellow,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2013,pm25,pm25_24h,12,12,yellow,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2014,pm25,pm25_annual,6.5,6.5,orange,orange
North Vancouver Second Narrows,PM25 SHARP5030,2014,pm25,pm25_24h,15,15,yellow,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2015,pm25,pm25_annual,6.4,6.3,yellow,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2015,pm25,pm25_24h,15,14,yellow,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2016,pm25,pm25_annual,6.1,6,yellow,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2016,pm25,pm25_24h,13,13,yellow,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2017,pm25,pm25_annual,6.4,5.8,yellow,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2017,pm25,pm25_24h,25,12,orange,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2018,pm25,pm25_annual,6.9,5.9,orange,yellow
North Vancouver Second Narrows,PM25 SHARP5030,2018,pm25,pm25_24h,30,14,red,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2013,pm25,pm25_annual,4.1,4.1,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2013,pm25,pm25_24h,11,11,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2014,pm25,pm25_annual,5,5,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2014,pm25,pm25_24h,15,15,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2015,pm25,pm25_annual,5.8,5.7,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2015,pm25,pm25_24h,17,17,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2016,pm25,pm25_annual,5.1,5.1,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2016,pm25,pm25_24h,16,15,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2017,pm25,pm25_annual,5.2,4.7,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2017,pm25,pm25_24h,23,15,orange,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2018,pm25,pm25_annual,5.6,4.8,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2018,pm25,pm25_24h,28,15,red,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2019,pm25,pm25_annual,6.1,5.3,yellow,yellow
Pitt Meadows Meadowlands School,PM25 SHARP5030,2019,pm25,pm25_24h,28,15,red,yellow
Port Alberni Elementary,BAM1020,2013,pm25,pm25_annual,7.4,7.4,orange,orange
Port Alberni Elementary,BAM1020,2013,pm25,pm25_24h,24,24,orange,orange
Port Alberni Elementary,BAM1020,2014,pm25,pm25_annual,7.5,7.5,orange,orange
Port Alberni Elementary,BAM1020,2014,pm25,pm25_24h,28,28,red,red
Port Alberni Elementary,BAM1020,2015,pm25,pm25_annual,8.3,8.1,orange,orange
Port Alberni Elementary,BAM1020,2015,pm25,pm25_24h,32,31,red,red
Port Alberni Elementary,BAM1020,2016,pm25,pm25_annual,7.9,7.8,orange,orange
Port Alberni Elementary,BAM1020,2016,pm25,pm25_24h,30,29,red,red
Port Alberni Elementary,BAM1020,2017,pm25,pm25_annual,8.5,8.3,orange,orange
Port Alberni Elementary,BAM1020,2017,pm25,pm25_24h,29,27,red,orange
Port Alberni Elementary,BAM1020,2018,pm25,pm25_24h,28,27,red,orange
Port Alberni Elementary,BAM1020,2018,pm25,pm25_annual,NA,8.7,NA,orange
Port Alberni Elementary,BAM1020,2019,pm25,pm25_24h,28,NA,red,NA
Port Moody Rocky Point Park,PM25 SHARP5030,2013,pm25,pm25_annual,5.1,5.1,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2013,pm25,pm25_24h,13,13,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2014,pm25,pm25_annual,5.8,5.8,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2014,pm25,pm25_24h,15,15,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2015,pm25,pm25_annual,6.4,6.2,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2015,pm25,pm25_24h,14,14,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2016,pm25,pm25_annual,5.9,5.7,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2016,pm25,pm25_24h,13,13,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2017,pm25,pm25_annual,6,5.4,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2017,pm25,pm25_24h,23,12,orange,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2018,pm25,pm25_annual,6.1,5.2,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2018,pm25,pm25_24h,29,13,red,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2019,pm25,pm25_annual,6.1,5.2,yellow,yellow
Port Moody Rocky Point Park,PM25 SHARP5030,2019,pm25,pm25_24h,29,13,red,yellow
Powell River James Thomson School,PM25_R&P_TEOM,2017,pm25,pm25_annual,2.3,2,green,green
Powell River James Thomson School,PM25_R&P_TEOM,2017,pm25,pm25_24h,17,6,yellow,green
Powell River James Thomson School,PM25_R&P_TEOM,2018,pm25,pm25_annual,2.9,2.3,green,green
Powell River James Thomson School,PM25_R&P_TEOM,2018,pm25,pm25_24h,20,8,orange,green
Powell River James Thomson School,PM25_R&P_TEOM,2019,pm25,pm25_annual,3.1,2.5,green,green
Powell River James Thomson School,PM25_R&P_TEOM,2019,pm25,pm25_24h,20,8,orange,green
Powell River Wildwood,PM25_R&P_TEOM,2014,pm25,pm25_annual,2.7,2.7,green,green
Powell River Wildwood,PM25_R&P_TEOM,2014,pm25,pm25_24h,9,9,green,green
Powell River Wildwood,PM25_R&P_TEOM,2015,pm25,pm25_annual,2.6,2.6,green,green
Powell River Wildwood,PM25_R&P_TEOM,2015,pm25,pm25_24h,7,7,green,green
Powell River Wildwood,PM25_R&P_TEOM,2016,pm25,pm25_annual,2.6,2.6,green,green
Powell River Wildwood,PM25_R&P_TEOM,2016,pm25,pm25_24h,7,7,green,green
Powell River Wildwood,PM25_R&P_TEOM,2017,pm25,pm25_annual,3.1,2.4,green,green
Powell River Wildwood,PM25_R&P_TEOM,2017,pm25,pm25_24h,21,7,orange,green
Prince George Gladstone School,PM25_R&P_TEOM,2013,pm25,pm25_annual,4.6,4.6,yellow,yellow
Prince George Gladstone School,PM25_R&P_TEOM,2013,pm25,pm25_24h,17,17,yellow,yellow
Prince George Gladstone School,PM25_R&P_TEOM,2014,pm25,pm25_annual,5.2,5,yellow,yellow
Prince George Gladstone School,PM25_R&P_TEOM,2014,pm25,pm25_24h,21,20,orange,orange
Prince George Gladstone School,PM25_R&P_TEOM,2015,pm25,pm25_annual,5.4,5.1,yellow,yellow
Prince George Gladstone School,PM25_R&P_TEOM,2015,pm25,pm25_24h,22,21,orange,orange
Prince George Plaza 400,PM25 SHARP5030,2014,pm25,pm25_24h,31,26,red,orange
Prince George Plaza 400,PM25 SHARP5030,2015,pm25,pm25_24h,31,NA,red,NA
Prince George Plaza 400,PM25 SHARP5030,2016,pm25,pm25_24h,30,24,red,orange
Prince George Plaza 400,PM25 SHARP5030,2016,pm25,pm25_annual,NA,8.8,NA,orange
Prince George Plaza 400,PM25 SHARP5030,2018,pm25,pm25_annual,12.4,NA,red,NA
Prince George Plaza 400,PM25 SHARP5030,2018,pm25,pm25_24h,71,25,red,orange
Prince George Plaza 400,PM25_R&P_TEOM,2013,pm25,pm25_annual,5.7,5.7,yellow,yellow
Prince George Plaza 400,PM25_R&P_TEOM,2013,pm25,pm25_24h,21,21,orange,orange
Prince George Plaza 400,PM25_R&P_TEOM,2014,pm25,pm25_annual,6.4,6.1,yellow,yellow
Prince George Plaza 400,PM25_R&P_TEOM,2014,pm25,pm25_24h,25,23,orange,orange
Prince George Plaza 400,PM25_R&P_TEOM,2015,pm25,pm25_annual,6.6,6.1,orange,yellow
Prince George Plaza 400,PM25_R&P_TEOM,2015,pm25,pm25_24h,24,20,orange,orange
Quesnel,SHARP,2013,pm25,pm25_annual,7,7,orange,orange
Quesnel,SHARP,2013,pm25,pm25_24h,21,21,orange,orange
Quesnel,SHARP,2014,pm25,pm25_annual,7.6,7.2,orange,orange
Quesnel,SHARP,2014,pm25,pm25_24h,28,23,red,orange
Quesnel,SHARP,2015,pm25,pm25_annual,7.7,7.3,orange,orange
Quesnel,SHARP,2015,pm25,pm25_24h,25,20,orange,orange
Quesnel,SHARP,2016,pm25,pm25_annual,8.3,7.9,orange,orange
Quesnel,SHARP,2016,pm25,pm25_24h,27,21,orange,orange
Quesnel,SHARP,2017,pm25,pm25_annual,10.3,8.7,red,orange
Quesnel,SHARP,2017,pm25,pm25_24h,39,21,red,orange
Quesnel,SHARP,2018,pm25,pm25_annual,13.1,NA,red,NA
Quesnel,SHARP,2018,pm25,pm25_24h,71,NA,red,NA
Quesnel,SHARP,2019,pm25,pm25_annual,13.2,NA,red,NA
Quesnel,SHARP,2019,pm25,pm25_24h,73,NA,red,NA
Quesnel Maple Drive,PM25_R&P_TEOM,2013,pm25,pm25_annual,6.9,6.9,orange,orange
Quesnel Maple Drive,PM25_R&P_TEOM,2013,pm25,pm25_24h,25,25,orange,orange
Quesnel Maple Drive,PM25_R&P_TEOM,2014,pm25,pm25_annual,7.5,7.1,orange,orange
Quesnel Maple Drive,PM25_R&P_TEOM,2014,pm25,pm25_24h,32,27,red,orange
Quesnel Maple Drive,PM25_R&P_TEOM,2015,pm25,pm25_annual,7.5,6.8,orange,orange
Quesnel Maple Drive,PM25_R&P_TEOM,2015,pm25,pm25_24h,30,23,red,orange
Richmond South,PM25 SHARP5030,2013,pm25,pm25_annual,5.6,5.6,yellow,yellow
Richmond South,PM25 SHARP5030,2013,pm25,pm25_24h,14,14,yellow,yellow
Richmond South,PM25 SHARP5030,2014,pm25,pm25_annual,6.4,6.4,yellow,yellow
Richmond South,PM25 SHARP5030,2014,pm25,pm25_24h,17,17,yellow,yellow
Richmond South,PM25 SHARP5030,2015,pm25,pm25_annual,6.3,6.2,yellow,yellow
Richmond South,PM25 SHARP5030,2015,pm25,pm25_24h,17,17,yellow,yellow
Richmond South,PM25 SHARP5030,2016,pm25,pm25_annual,5.6,5.6,yellow,yellow
Richmond South,PM25 SHARP5030,2016,pm25,pm25_24h,16,16,yellow,yellow
Richmond South,PM25 SHARP5030,2017,pm25,pm25_annual,5.7,5.6,yellow,yellow
Richmond South,PM25 SHARP5030,2017,pm25,pm25_24h,17,16,yellow,yellow
Richmond South,PM25 SHARP5030,2018,pm25,pm25_annual,6.1,5.6,yellow,yellow
Richmond South,PM25 SHARP5030,2018,pm25,pm25_24h,22,16,orange,yellow
Richmond South,PM25 SHARP5030,2019,pm25,pm25_annual,6.5,6,orange,yellow
Richmond South,PM25 SHARP5030,2019,pm25,pm25_24h,22,17,orange,yellow
Rumble Beach Hospital,BAM1020,2013,pm25,pm25_24h,29,29,red,red
Smithers,PM25_R&P_TEOM,2013,pm25,pm25_annual,5.4,5.4,yellow,yellow
Smithers,PM25_R&P_TEOM,2013,pm25,pm25_24h,18,18,yellow,yellow
Smithers,SHARP,2013,pm25,pm25_24h,29,29,red,red
Smithers,SHARP,2014,pm25,pm25_24h,30,30,red,red
Smithers,SHARP,2015,pm25,pm25_24h,28,28,red,red
Smithers,SHARP,2016,pm25,pm25_annual,7.9,7.9,orange,orange
Smithers,SHARP,2016,pm25,pm25_24h,25,25,orange,orange
Smithers,SHARP,2017,pm25,pm25_annual,8,7.9,orange,orange
Smithers,SHARP,2017,pm25,pm25_24h,27,25,orange,orange
Smithers,SHARP,2018,pm25,pm25_annual,8.2,8,orange,orange
Smithers,SHARP,2018,pm25,pm25_24h,29,27,red,orange
Smithers,SHARP,2019,pm25,pm25_annual,8.6,8.4,orange,orange
Smithers,SHARP,2019,pm25,pm25_24h,29,27,red,orange
Squamish Elementary,BAM1020/SHARP,2017,pm25,pm25_annual,5.5,4.4,yellow,yellow
Squamish Elementary,BAM1020/SHARP,2017,pm25,pm25_24h,40,11,red,yellow
Squamish Elementary,BAM1020/SHARP,2018,pm25,pm25_annual,6,4.8,yellow,yellow
Squamish Elementary,BAM1020/SHARP,2018,pm25,pm25_24h,41,13,red,yellow
Squamish Elementary,BAM1020/SHARP,2019,pm25,pm25_annual,6.3,5.1,yellow,yellow
Squamish Elementary,BAM1020/SHARP,2019,pm25,pm25_24h,42,14,red,yellow
Squamish Gov t Bldg,BAM1020,2013,pm25,pm25_annual,6.5,6.5,orange,orange
Squamish Gov t Bldg,BAM1020,2013,pm25,pm25_24h,15,15,yellow,yellow
Squamish Gov t Bldg,BAM1020,2014,pm25,pm25_annual,6.2,6.2,yellow,yellow
Squamish Gov t Bldg,BAM1020,2014,pm25,pm25_24h,15,15,yellow,yellow
Squamish Gov t Bldg,BAM1020,2015,pm25,pm25_annual,6.7,6.5,orange,orange
Squamish Gov t Bldg,BAM1020,2015,pm25,pm25_24h,18,15,yellow,yellow
Squamish Gov t Bldg,BAM1020,2016,pm25,pm25_annual,6.9,6.5,orange,orange
Squamish Gov t Bldg,BAM1020,2016,pm25,pm25_24h,19,15,yellow,yellow
Squamish Gov t Bldg,PM25_R&P_TEOM,2013,pm25,pm25_annual,3.8,3.8,green,green
Squamish Gov t Bldg,PM25_R&P_TEOM,2013,pm25,pm25_24h,11,11,yellow,yellow
Squamish Gov t Bldg,PM25_R&P_TEOM,2014,pm25,pm25_annual,3.9,3.9,green,green
Squamish Gov t Bldg,PM25_R&P_TEOM,2014,pm25,pm25_24h,12,12,yellow,yellow
Squamish Gov t Bldg,PM25_R&P_TEOM,2015,pm25,pm25_annual,4.1,3.8,yellow,green
Squamish Gov t Bldg,PM25_R&P_TEOM,2015,pm25,pm25_24h,13,11,yellow,yellow
Squamish Gov t Bldg,PM25_R&P_TEOM,2016,pm25,pm25_annual,4.1,3.8,yellow,green
Squamish Gov t Bldg,PM25_R&P_TEOM,2016,pm25,pm25_24h,13,11,yellow,yellow
Surrey East,PM25 SHARP5030,2013,pm25,pm25_annual,4.7,4.7,yellow,yellow
Surrey East,PM25 SHARP5030,2013,pm25,pm25_24h,12,12,yellow,yellow
Surrey East,PM25 SHARP5030,2014,pm25,pm25_annual,5.2,5.2,yellow,yellow
Surrey East,PM25 SHARP5030,2014,pm25,pm25_24h,14,14,yellow,yellow
Surrey East,PM25 SHARP5030,2015,pm25,pm25_annual,5.9,5.8,yellow,yellow
Surrey East,PM25 SHARP5030,2015,pm25,pm25_24h,17,16,yellow,yellow
Surrey East,PM25 SHARP5030,2016,pm25,pm25_annual,5.5,5.4,yellow,yellow
Surrey East,PM25 SHARP5030,2016,pm25,pm25_24h,15,15,yellow,yellow
Surrey East,PM25 SHARP5030,2017,pm25,pm25_annual,5.5,5.3,yellow,yellow
Surrey East,PM25 SHARP5030,2017,pm25,pm25_24h,16,15,yellow,yellow
Surrey East,PM25 SHARP5030,2018,pm25,pm25_annual,5.7,5.2,yellow,yellow
Surrey East,PM25 SHARP5030,2018,pm25,pm25_24h,19,15,yellow,yellow
Surrey East,PM25 SHARP5030,2019,pm25,pm25_annual,6.1,5.7,yellow,yellow
Surrey East,PM25 SHARP5030,2019,pm25,pm25_24h,20,15,orange,yellow
Telkwa,PM25_R&P_TEOM,2013,pm25,pm25_annual,5.4,5.4,yellow,yellow
Telkwa,PM25_R&P_TEOM,2013,pm25,pm25_24h,17,17,yellow,yellow
Telkwa,PM25_R&P_TEOM,2014,pm25,pm25_annual,5.6,5.6,yellow,yellow
Telkwa,PM25_R&P_TEOM,2014,pm25,pm25_24h,18,18,yellow,yellow
Telkwa,PM25_R&P_TEOM,2015,pm25,pm25_annual,5.7,5.7,yellow,yellow
Telkwa,PM25_R&P_TEOM,2015,pm25,pm25_24h,18,18,yellow,yellow
Terrace BC Access Centre,PM25_R&P_TEOM,2013,pm25,pm25_annual,3,3,green,green
Terrace BC Access Centre,PM25_R&P_TEOM,2013,pm25,pm25_24h,9,9,green,green
Terrace Skeena Middle School,PM25 SHARP5030,2017,pm25,pm25_annual,5.9,5.9,yellow,yellow
Terrace Skeena Middle School,PM25 SHARP5030,2017,pm25,pm25_24h,17,17,yellow,yellow
Terrace Skeena Middle School,PM25 SHARP5030,2018,pm25,pm25_annual,6.2,6.2,yellow,yellow
Terrace Skeena Middle School,PM25 SHARP5030,2018,pm25,pm25_24h,18,18,yellow,yellow
Terrace Skeena Middle School,PM25 SHARP5030,2019,pm25,pm25_annual,6.1,6.1,yellow,yellow
Terrace Skeena Middle School,PM25 SHARP5030,2019,pm25,pm25_24h,17,17,yellow,yellow
Tsawwassen,PM25 SHARP5030,2013,pm25,pm25_annual,4.2,4.2,yellow,yellow
