NPRI_ID,year,Company,Facility,parameter,metric,metric_unit,province,latitude,longitude,sector,airzone
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,Carbon monoxide,257.246,tonnes,BC,51.3138,-116.9804,19,Southern Interior
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,Methanol,11.877,tonnes,BC,51.3138,-116.9804,19,Southern Interior
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,Sulphuric acid,0.137,tonnes,BC,51.3138,-116.9804,19,Southern Interior
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,Total particulate matter,19.058,tonnes,BC,51.3138,-116.9804,19,Southern Interior
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,Total particulate matter,31.647,tonnes,BC,51.3138,-116.9804,19,Southern Interior
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,PM10 - Particulate Matter <= 10 Micrometers,4.564,tonnes,BC,51.3138,-116.9804,19,Southern Interior
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,PM10 - Particulate Matter <= 10 Micrometers,17.789,tonnes,BC,51.3138,-116.9804,19,Southern Interior
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,pm25,0.543,tonnes,BC,51.3138,-116.9804,19,Southern Interior
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,pm25,8.027,tonnes,BC,51.3138,-116.9804,19,Southern Interior
618,2021,Louisiana Pacific Canada Ltd.,Golden EWP Division,Volatile Organic Compounds (VOCs),49.5,tonnes,BC,51.3138,-116.9804,19,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Chlorine dioxide,2.7077,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,no2,374.76,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Carbon monoxide,432.46,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Methanol,79.1417,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Methanol,11.7783,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,so2,31.85,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Hydrochloric acid,29.4896,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Sulphuric acid,3.2163,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Hydrogen sulphide,8.4289,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Hydrogen sulphide,2.9493,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Arsenic (and its compounds),4.5759,kg,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Arsenic (and its compounds),68.1877,kg,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Cadmium (and its compounds),9.9156,kg,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Cadmium (and its compounds),6.2205,kg,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Lead (and its compounds),21.3554,kg,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Lead (and its compounds),7.3732,kg,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Manganese (and its compounds),2.0736,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Manganese (and its compounds),9.4012,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Mercury (and its compounds),1.8074,kg,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Mercury (and its compounds),0.0012,kg,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Selenium (and its compounds),1.5504,kg,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Selenium (and its compounds),15.2962,kg,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Ammonia (total),53.7288,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Ammonia (total),13.5635,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Nitrate ion in solution at pH >= 6.0,49.467,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Phosphorus (total),0.1357,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Phosphorus (total),29.257,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Dioxins and furans - total,7e-6,g TEQ,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Dioxins and furans - total,0,g TEQ,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Total particulate matter,144.9,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,PM10 - Particulate Matter <= 10 Micrometers,110.27,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,pm25,75.77,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Total reduced sulphur (expressed as hydrogen sulphide),7.8144,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,Volatile Organic Compounds (VOCs),89.76,tonnes,BC,49.3357,-117.728,14,Southern Interior
672,2021,Mercer Celgar Limited Partnership,Mercer Celgar Limited Partnership,"PAHs, total unspeciated",45.4651,kg,BC,49.3357,-117.728,14,Southern Interior
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,no2,1583.99,tonnes,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,Hexachlorobenzene,0.0181,grams,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,Carbon monoxide,619.3,tonnes,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,so2,225,tonnes,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,Hydrochloric acid,25.7,tonnes,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,Arsenic (and its compounds),1.5,kg,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,Cadmium (and its compounds),0.5,kg,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,Chromium (and its compounds),0.0028,tonnes,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,Cobalt (and its compounds),0.2,kg,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,Copper (and its compounds),0.0034,tonnes,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,Lead (and its compounds),3.2,kg,BC,49.1591,-123.0032,2,Lower Fraser Valley
702,2021,Lafarge Canada Inc.,Richmond Cement Plant,Manganese (and its compounds),0.0083,tonnes,BC,49.1591,-123.0032,2,Lower Fraser Valley
