STATION_NAME,DATE,COMMENT,PARAMETER,Advisory Issued,INSTRUMENT
Burnaby South,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Castlegar Zinio Park,2021-08-13,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Chilliwack Airport,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Colwood City Hall,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-08-13,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-08-13,White Rock Lake (K61884),PM25,NA,NA
Hope Airport,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Horseshoe Bay,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Kamloops Federal Building,2021-08-13,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-08-13,White Rock Lake (K61884),PM25,NA,NA
Langdale Elementary,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Langley Central,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Mission School Works Yard,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
New Westminster Sapperton Park,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
North Delta,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
North Vancouver Mahon Park,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
North Vancouver Second Narrows,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Penticton Industrial Place,2021-08-13,White Rock Lake (K61884),PM25,NA,NA
Pitt Meadows Meadowlands School,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Port Moody Rocky Point Park,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Richmond South,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Squamish Elementary,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Surrey East,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Tsawwassen,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Vancouver Clark Drive,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Vancouver International Airport #2,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Vernon Science Centre,2021-08-13,White Rock Lake (K61884),PM25,NA,NA
Victoria Topaz,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Whistler Meadow Park,2021-08-13,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Abbotsford A Columbia Street,2021-08-12,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Abbotsford Central,2021-08-12,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Agassiz Municipal Hall,2021-08-12,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Castlegar Zinio Park,2021-08-12,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Chilliwack Airport,2021-08-12,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-08-12,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-08-12,White Rock Lake (K61884),PM25,NA,NA
Hope Airport,2021-08-12,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Hudsons Hope Dudley Drive,2021-08-12,G61601,PM25,NA,NA
Kamloops Federal Building,2021-08-12,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Kelowna KLO Road,2021-08-12,White Rock Lake (K61884),PM25,NA,NA
Mission School Works Yard,2021-08-12,"Cascades Complex: July Mountain (K61882), Brook Creek (K62615), Garrison Lake (K62088)",PM25,NA,NA
Penticton Industrial Place,2021-08-12,White Rock Lake (K61884),PM25,NA,NA
Vernon Science Centre,2021-08-12,White Rock Lake (K61884),PM25,NA,NA
Victoria Topaz,2021-08-12,"Cub Creek 2 Fire (Okanogan, Washington USA)",PM25,NA,NA
Castlegar Zinio Park,2021-08-11,White Rock Lake (K61884),PM25,NA,NA
Grand Forks City Hall,2021-08-11,White Rock Lake (K61884),PM25,NA,NA
Kelowna KLO Road,2021-08-11,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-08-11,White Rock Lake (K61884),PM25,NA,NA
Vernon Science Centre,2021-08-10,White Rock Lake (K61884),PM25,NA,NA
Castlegar Zinio Park,2021-08-08,"Chuweah Creek Fire (Oakangan County, Washington State)",PM25,NA,NA
Golden Helipad,2021-08-08,White Rock Lake (K61884),PM25,NA,NA
Castlegar Zinio Park,2021-08-07,"Chuweah Creek Fire (Oakangan County, Washington State)",PM25,NA,NA
Golden Helipad,2021-08-07,White Rock Lake (K61884),PM25,NA,NA
Grand Forks City Hall,2021-08-07,"Chuweah Creek Fire (Oakangan County, Washington State)",PM25,NA,NA
Valemount,2021-08-07,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Castlegar Zinio Park,2021-08-06,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-08-06,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-08-06,White Rock Lake (K61884),PM25,NA,NA
Grand Forks City Hall,2021-08-06,"Chuweah Creek Fire (Oakangan County, Washington State)",PM25,NA,NA
Kamloops Federal Building,2021-08-06,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Castlegar Zinio Park,2021-08-05,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-08-05,White Rock Lake (K61884),PM25,NA,NA
Grand Forks City Hall,2021-08-05,White Rock Lake (K61884),PM25,NA,NA
Kamloops Federal Building,2021-08-05,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-08-05,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-08-05,"Okanagan Complex: Thomas Creek (K51794), Brenda Creek (K51924), Nk’Mip Creek (K52061)",PM25,NA,NA
Valemount,2021-08-05,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Williams Lake Columneetza School,2021-08-05,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Castlegar Zinio Park,2021-08-04,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-08-04,White Rock Lake (K61884),PM25,NA,NA
Kamloops Federal Building,2021-08-04,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-08-04,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-08-04,"Okanagan Complex: Thomas Creek (K51794), Brenda Creek (K51924), Nk’Mip Creek (K52061)",PM25,NA,NA
Valemount,2021-08-04,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Vernon Science Centre,2021-08-04,White Rock Lake (K61884),PM25,NA,NA
Castlegar Zinio Park,2021-08-03,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-08-03,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-08-03,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-08-03,White Rock Lake (K61884),PM25,NA,NA
Kamloops Federal Building,2021-08-03,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-08-03,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-08-03,"Okanagan Complex: Thomas Creek (K51794), Brenda Creek (K51924), Nk’Mip Creek (K52061)",PM25,NA,NA
Valemount,2021-08-03,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Vernon Science Centre,2021-08-03,White Rock Lake (K61884),PM25,NA,NA
Castlegar Zinio Park,2021-08-02,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-08-02,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-08-02,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-08-02,White Rock Lake (K61884),PM25,NA,NA
Hope Airport,2021-08-02,"Pincer Creek Fire (Skagit County, Washington USA)",PM25,NA,NA
Hudsons Hope Dudley Drive,2021-08-02,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Kamloops Federal Building,2021-08-02,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-08-02,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-08-02,"Okanagan Complex: Thomas Creek (K51794), Brenda Creek (K51924), Nk’Mip Creek (K52061)",PM25,NA,NA
Prince George Plaza 400,2021-08-02,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Quesnel Kinchant St MAML,2021-08-02,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Valemount,2021-08-02,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Vanderhoof Courthouse,2021-08-02,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Vernon Science Centre,2021-08-02,White Rock Lake (K61884),PM25,NA,NA
Williams Lake Columneetza School,2021-08-02,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Agassiz Municipal Hall,2021-08-01,"Pincer Creek Fire (Skagit County, Washington USA)",PM25,NA,NA
Burns Lake Fire Centre,2021-08-01,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Castlegar Zinio Park,2021-08-01,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Chilliwack Airport,2021-08-01,"Pincer Creek Fire (Skagit County, Washington USA)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-08-01,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-08-01,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Hope Airport,2021-08-01,"Pincer Creek Fire (Skagit County, Washington USA)",PM25,NA,NA
Hudsons Hope Dudley Drive,2021-08-01,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Kamloops Federal Building,2021-08-01,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-08-01,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-08-01,"Okanagan Complex: Thomas Creek (K51794), Brenda Creek (K51924), Nk’Mip Creek (K52061)",PM25,NA,NA
Prince George Plaza 400,2021-08-01,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Quesnel Kinchant St MAML,2021-08-01,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Valemount,2021-08-01,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Vanderhoof Courthouse,2021-08-01,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Vernon Science Centre,2021-08-01,White Rock Lake (K61884),PM25,NA,NA
Whistler Meadow Park,2021-08-01,"Pincer Creek Fire (Skagit County, Washington USA)",PM25,NA,NA
Williams Lake Columneetza School,2021-08-01,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Castlegar Zinio Park,2021-07-31,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-07-31,Cultus Creek (N71245),PM25,NA,NA
Golden Helipad,2021-07-31,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-07-31,White Rock Lake (K61884),PM25,NA,NA
Hope Airport,2021-07-31,"Pincer Creek Fire (Skagit County, Washington USA)",PM25,NA,NA
Kamloops Federal Building,2021-07-31,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-07-31,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-07-31,"Okanagan Complex: Thomas Creek (K51794), Brenda Creek (K51924), Nk’Mip Creek (K52061)",PM25,NA,NA
Prince George Plaza 400,2021-07-31,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Quesnel Kinchant St MAML,2021-07-31,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Valemount,2021-07-31,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Vanderhoof Courthouse,2021-07-31,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Vernon Science Centre,2021-07-31,White Rock Lake (K61884),PM25,NA,NA
Williams Lake Columneetza School,2021-07-31,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Castlegar Zinio Park,2021-07-30,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-07-30,Cultus Creek (N71245),PM25,NA,NA
Golden Helipad,2021-07-30,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-07-30,"Chuweah Creek Fire (Oakangan County, Washington State)",PM25,NA,NA
Kamloops Federal Building,2021-07-30,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-07-30,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-07-30,"Okanagan Complex: Thomas Creek (K51794), Brenda Creek (K51924), Nk’Mip Creek (K52061)",PM25,NA,NA
Valemount,2021-07-30,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Vernon Science Centre,2021-07-30,White Rock Lake (K61884),PM25,NA,NA
Williams Lake Columneetza School,2021-07-30,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Castlegar Zinio Park,2021-07-29,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-07-29,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-07-29,"Chuweah Creek Fire (Oakangan County, Washington State)",PM25,NA,NA
Kamloops Federal Building,2021-07-29,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-07-29,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-07-29,"Okanagan Complex: Thomas Creek (K51794), Brenda Creek (K51924), Nk’Mip Creek (K52061)",PM25,NA,NA
Vernon Science Centre,2021-07-29,White Rock Lake (K61884),PM25,NA,NA
Castlegar Zinio Park,2021-07-28,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-07-28,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-07-28,"Chuweah Creek Fire (Oakangan County, Washington State)",PM25,NA,NA
Kamloops Federal Building,2021-07-28,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-07-28,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-07-28,"Okanagan Complex: Thomas Creek (K51794), Brenda Creek (K51924), Nk’Mip Creek (K52061)",PM25,NA,NA
Valemount,2021-07-28,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Vernon Science Centre,2021-07-28,White Rock Lake (K61884),PM25,NA,NA
Castlegar Zinio Park,2021-07-27,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-07-27,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-07-27,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Kamloops Federal Building,2021-07-27,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-07-27,White Rock Lake (K61884),PM25,NA,NA
Penticton Industrial Place,2021-07-27,"Okanagan Complex: Thomas Creek (K51794), Brenda Creek (K51924), Nk’Mip Creek (K52061)",PM25,NA,NA
Vernon Science Centre,2021-07-27,White Rock Lake (K61884),PM25,NA,NA
Castlegar Zinio Park,2021-07-26,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-07-26,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-07-26,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Kamloops Federal Building,2021-07-26,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Vernon Science Centre,2021-07-26,White Rock Lake (K61884),PM25,NA,NA
Castlegar Zinio Park,2021-07-25,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-07-25,Cultus Creek (N71245),PM25,NA,NA
Golden Helipad,2021-07-25,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-07-25,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Kamloops Federal Building,2021-07-25,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Vernon Science Centre,2021-07-25,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Castlegar Zinio Park,2021-07-24,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-07-24,Cultus Creek (N71245),PM25,NA,NA
Golden Helipad,2021-07-24,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-07-24,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Kamloops Federal Building,2021-07-24,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Vernon Science Centre,2021-07-24,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Castlegar Zinio Park,2021-07-23,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Cranbrook Muriel Baxter,2021-07-23,Cultus Creek (N71245),PM25,NA,NA
Golden Helipad,2021-07-23,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-07-23,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Kamloops Federal Building,2021-07-23,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Vernon Science Centre,2021-07-23,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Castlegar Zinio Park,2021-07-22,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Golden Helipad,2021-07-22,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Grand Forks City Hall,2021-07-22,"Arrow Lake Complex: Michaud Creek (N51765), Octopus Creek (N51800)",PM25,NA,NA
Kamloops Federal Building,2021-07-22,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Golden Helipad,2021-07-21,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Golden Helipad,2021-07-20,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Valemount,2021-07-20,"100 Mile Northeast Complex: South of Canim Lake (C41100), Succour Lake (C41191), Flat Lake (C41602), Young Lake (C41097), Churn Creek Protected Area (C21250)",PM25,NA,NA
Castlegar Zinio Park,2021-07-19,"Chuweah Creek Fire (Oakangan County, Washington State)",PM25,NA,NA
Golden Helipad,2021-07-19,"Shuswap Complex: Hunakwa Lake (K41676), Three Valley Lake (K41807), Two Mile Road (K42078), Bunting Road (K41561), Crazy Creek Gorge FSR (K41769), Momich Lake (K21658)",PM25,NA,NA
Kamloops Federal Building,2021-07-19,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
Kelowna KLO Road,2021-07-19,"Sparks Lake Complex: Sparks Lake (K21001), Embleton Mountain (K21644), Tremont Creek (K21849)",PM25,NA,NA
